judul,alamat,deskripsi,kamar,bangunan,lahan,harga
"Jual Rumah Siap Huni Di Kota Baru Parahyangan, Bandung - Padalarang","Padalarang, Bandung","Dijual rumah siap huni di Kota baru Parahyangan, Bandung - padalarangRumah Bandung Tempoe Doloe tahap 2Luas tanah 396 mtrLuas bangunan 336 mtr2 lantaiKamar 4+1Kmr mandi 3+1Garasi 2 mobilCarpot 2 mobilLiistrik 5500 wattAir summersibleHalaman depan dan taman belakang luasRumah lokasi premium di mainroad Kota Baru ParahyanganHarga 6M nego",4,336,396,6000000000
Rumah Minimalis @Mekar Wangi,"Mekarwangi, Bandung","FOR SALERumah Minimalis @Mekar Wangi
LT 180 mLB 280 mLebar Muka 6x30 mKT 3+1KM 3+1
Fasilitas:- Semi Furnish- Ac 6 Unit- Carport 1 Mobil- Air Submersible- Kitchen Set- Listrik 10.500 Watt
Harga Jual: 2,750 Milliar Nego",3,280,180,2750000000
RUMAH MURAH lokasi sayap MALABAR  BUAHBATU,"Malabar, Bandung","Dijual MURAH, rumah perlu renovasi, lokasi sayap MALABAR Buahbatu",6,331,138,900000000
"Rumah Baru di Mekar Wangi, Bandung","Mekarwangi, Bandung","Jual Rumah Baru di Mekar Wangi,BandungLokasi Bagus & Jalan Besar
Luas tanah 120 m (6x20)Luas bangunan 160 mKamar Tidur 4Kamar Mandi 3Hadap BaratSurat HGBCarport 2 MobilHarga 2.75 M",4,160,120,2750000000
"Rumah Baru Minimalis, January Ready!!! di Mekarwangi, Bandung","Mekarwangi, Bandung","Dijual Rumah baru minimalis di Mekar Wangi, Bandung Luas tanah 112 mtr Luas bangunan +- 160 mtr Bangunan 2 lantai Surat SHM KT 4+1 KM 3+1 Carport 2 mbl Air PDAM Hadap Barat Harga 2.7 M nego",4,160,112,2700000000
WOW!!! New Year Sale Rumah 3 lantai cuma 600 jutaan,Bandung,"Jadilah yang Pertama, untuk Mendapatkan Harga Spesial   Hanya mulai 600 Juta-an saja, Dapat Rumah 3 Lantai.. Terbatas hanya untuk 5 Unit      Perumahan Premium Terbaru di Bandung Barat, mengusung konsep ""Buying The View"" memberikan sebuah Hunian dengan View terbaik di Bandung Barat.  Terletak di Lokasi yang Strategis, dengan Akses yang mudah  10 Menit dari Exit Tol Padalarang  15 Menit dari Stasiun Kereta Api   30 Menit dari Bandara Husein Sastranegara  Cluster Janet Park  Type 75 L. Bangunan 75m² L. Tanah 84m² 2,5 Lantai - 3 K. Tidur - 3 K. Mandi  Fasilitas Cluster :  One Gate System  Security & CCTV 24/7  Swimming Pool  Area BBQ & Gazebo  Jogging Track  Children Play Ground  Row Jalan Cluster 8-10m  Dapatkan Spesial Harga Soft Launching dengan Diskon 5% s/d 45%  Untuk Info lebih Lanjut Hubungi :  Pak Septa",3,75,84,600000000
Rumah Sayap Sukanegara Standar Harga Pasar Lokasi The Best,"Antapani, Bandung","For SaleJl. SAYAP SUKANEGARA( Antapani )  LT. 135 m2LB. 130 m27KT - 3KM1 ruang tamu, 1 ruang keluarga, 1 ruang makan, 1 dapur, 1 carportlistrik 900 Watt, Air pdamRp 1.300.000.000 /nego sampai dealJangan BELI RUMAH INI Sebelum Tau Keunggulannya !!Pembeli BEBAS Komisi, Penjual BEBAS Biaya promosi.Bila Anda Tertarik,Silahkan menghubungi SAYA untuk informasi lebih lengkap,Terima kasih.Segera ambil keputusan dan dapatkan penawaran TERBAIK jangan tunggu harga NAIK!PERCAYAKAN JUAL BELI ANDA KEPADA KAMIGRATIS Konsultasi properti. Membantu proses KPR Bank-The Fast Solution",7,130,135,1300000000
Jual Cepat Rumah Straregis di Jalan Utama Taman Cibaduyut Indah,"Dayeuhkolot, Bandung","Jual Cepat Rumah Straregis di Jalan Utama Taman Cibaduyut Indah Suasana Lingkungan Nyaman dan aman Dibangun dengan konsep modern minimalis, hunian ini menyasar pasangan muda atau keluarga kecil dari kalangan menengah. Lokasinya yang berada di Jl. Taman Cibaduyut juga strategis karena tak terlalu jauh dari jalan raya. Kawasan Cibaduyut sudah menjadi kawasan pemukiman sejak lama, sehingga segala macam fasilitas bermunculan seiring berkembangnya kawasan industri ini. Fasilitas pendidikan, misalnya. Dalam radius dari 2,5 kilometer dari perumahan, terdapat SDN 4 Cibaduyut, SMPN 38 Bandung, SMP Kristen Kalam Kudus, dan SMP Plus Al Amanah. Untuk jenjang yang lebih tinggi, ada SMA dan SMK Assalaam , SMK Bandung Selatan 1, dan SMK Al Amanah Dayuehkolot. Luas bangunan 150 Luas tanah 110 Kamar tidur 4 Kamar Mandi 2 Lantai 1 Fasilitas PAM SertifikasiSHM - Sertifikat Hak Milik Di dalam perumahan, tak banyak fasilitas untuk warga yang dibangun oleh pihak pengembang Taman Cibaduyut Indah. Namun, jalan di dalam perumahan telah dilapisi beton dan ukurannya cukup lebar untuk dilalui kendaraan yang berpapasan dengan nyaman. Perumahan ini pun memberlakukan one gate system untuk kenyamanan dan keamanan penghuninya. Harga :850jt.",4,150,110,850000000
Jual Rumah Mewah Kawasan Pendidikan di Kota Baru Parahyanagan Bandung!,"Padalarang, Bandung","Jual Rumah Mewah Kawasan Pendidikan di Kota Baru Parahyanagan Bandung! Dikembangkan oleh Lyman Group Padalarang, Bandung Barat Keunggulan dari Kota Baru Parahyangan : - Kota mandiri pertama dan terbesar yang berwawasan pendidikan di Bandung - Terdapat sistem keamanan satu pintu di setiap cluster perumahan - Dikelilingi pemandangan gunung, lembah, dan danau - Kualitas udara bersih dan suhu udara yang nyaman - Didukung infrastruktur skala kota dengan lebar jalan utama 50 meter - Tersedia fasilitas pendidikan yang lengkap 5 sekolah, 2 sekolah tinggi, dan 1 universitas - Tersedianya Town Management yang mengelola dan memelihara lingkungan tetap bersih dan nyaman TIPE 50/90 2 KT 1 KM HARGA START: 1 M-AN! Cara Byar: Cash Keras Cash Tahap KPR Tersedia fasilitas pendidikan yang LENGKAP. (Sekolah Formal, Informal, Taman Tematik, Pusat Ilmu Pengetahuan dan Teknologi) Informasi lebih lanjut, Hubungi : ERINA SILALAHI",2,51,90,1001000000
"RUMAH 3 KT DI Mekar Wangi Jl. Mekar Murni, Mekarwangi, Kota Bandung","Mekarwangi, Bandung","Mekar Wangi Jl. Mekar Murni, Mekarwangi, Kota Bandung  (William) ID :  170120-6479  JUAL Rp.2.300.000.000,-  Tipe: Rumah Area: Mekar Wangi LT/LB: 180 m2 / 190 m2 KT/KTP: 3 / 1 KM/KMP: 1 / 1 Status: SHM  Listrik: 3500 Air: Jetpump  Lantai: 1 Lantai Garasi: 0 Carport: 0 Furniture: Tidak ada  Hadap: Selatan  Apakah anda sedang : 1. Sedang mencari Property untuk DIBELI atau DISEWA? (KAMI BANTU TEMUKAN PROPERTY yang SESUAI dengan Kebutuhan dan Budget anda) 2. Atau mau nitip Property milik anda sendiri untuk DIJUALKAN atau DISEWAKAN.(Kami bisa bantu pasarkan 3x LEBIH CEPAT)  Silahkan Hubungi   Bestson  (WA Fast Respon) Beyond Property",3,190,180,2300000000
RUMAH KOLAM RENANG CIPAGERAN CIMAHI UTARA,"Sukajadi, Bandung","Bismillah Assalamualaikum... Pilihan investasi yang tidak akan membuat Anda rugi. Miliki Rumah Villa dengan Tanah yang Luas yang terletak pada ketinggian 850 mdpl di Kawasan Bandung Utara, yang terkenal sebagai kawasan dengan view-nya yang Sangat Indah. Inilah Saatnya Punya Villa Mewah di Kawasan Bandung Utara.   Dapat Villa nya, dapat juga tanah yang luas yang bisa dijadikan opsi kolam renang dirumah kita.   Belum punya cash? Kami bantu untuk memiliki rumah villa ini dengan skema kredit sesuai syariah tanpa Bank.  Asiknya lagi, bisa langsung dihuni tanpa tunggu dan tanpa nanti-nanti Lokasinya yang terletak di kawasan Bandung Utara, menawarkan view yang eksotik di kawasan perbukitan cipageran, menjadikan Tipe Sophia di Royal Orchid   Villa ini mengalami kenaikan nilai investasi yang tinggi pertahunnya. Ada 3 type : 38/120 65/120 83/120  Harga Start 800 jutaan.  Kapan lagi dapat Rumah Villa yang Mewah dengan Tanah Luas, hanya bayar DP dan bisa langsung dihuni? Sisanya pun bisa diangsur sesuai syariah, tanpa Bank lagi, Asiik.  Dapatkan info detailnya dengan Whatsapp saya ya disini Marketing Resmi : Nama: Yadi WA:",3,83,120,1200000000
"Rumah Mekar Murni, MekarWangi.","Mekarwangi, Bandung","Rumah Mekar Murni, MekarWangi.Lt 178mtrLb 165mtrKmr tdr 4+1Kmr mandi 1+1Listrik 2200 wattPDAMSelatanCarpot 1Bangunan 1,5lantaiLM 8SHMOP. 2,2 M Nego",4,165,178,2200000000
"Jual Rumah di Sukamulya Pasteur, Bandung","Pasteur, Bandung","Dijual rumah baru siap huni di Sukamulya, BandungLuas tanah 210 mtrLuas bangunan 131 mtrlebar 7.5 mtr3 lantaiKT 4KM 6Listrik 3500 wattAir submersibleGarasi 1, carport 1Harga 2.9 M",4,131,210,2900000000
Rumah Baru Minimalis di Mekar Wangi Lokasi Bagus dekat Jalan Besar,"Mekarwangi, Bandung","Dijual Rumah Baru Minimalis di Mekar Wangi
Luas Tanah : 77 m2 Luas Bangunan : 120 m2 Kamar tidur 3Kamar mandi 3Carport 1 MobilListrik : 2.200 wattAir JetpumpSemi FurnishedHarga 1,7 M",3,120,77,1700000000
Cepat Butuh Uang Rumah Lingkungan Sangat Nyaman di Cluster Favorit Batununggal,"Batununggal, Bandung","Rumah Lingkungan Sangat Nyaman di Cluster Favorit Batununggal
Lt 180 m, Lb 280 mHadap Timur4+1 Kt, 3+1 KmListrik 5500 wattAir Artesis
Selling Point :- Lingkungan sangat nyaman- Security 24 jam- Dekat tol Buah Batu Moh Toha- Nilai investasi sangat menarik
*Hrg Penawaran : 3,1 Milyar*
(VYT)",4,280,180,3100000000
Rumah 2 Lantai,Bandung,"Tanpa perantara Pemilik langsung Kota Bandung Area Bandung Timur  Jl.Santosa Asih 2 SHM  KT 3 ( bawah ) KT 1 ( atas ) KM 2  Teras atas Carport 1 LT 96 m 2 LB 110 m 2 Jumlah Lantai 2 Hadap Utara Listrik 1300 watt Sumber Air Jetpump Masuk Mobil YA Bebas Banjir YA  SELLING POINT:  - Posisi lokasi Kotamadya Bandung - Pasar tradisional Rancabolang Bandung - 700 m, Ke Rumah Sakit Al Islam Bandung - 1km, Ke Metro Indah Mall, Bioskop CGV Cinemes MIM - 1.2 km ke ke POM Bensin Soek.Hatta dan POM Bensin Riungbandung - 900 meter ke Yogya Departement Store, Superindo - 1 km ke Borma Margahayu, Borma Riungbandung. WA",4,110,96,850000000
Rumah di Coblong (nego),"Coblong, Bandung","luas tanah 248 m2, luas bangunan kurang lebih 250 m2, SHM harga 4,5 m (nego)",4,250,248,4500000000
RUMAH MURAH TERLARIS DESIGN DAN KONSEP EROPA DIBANDUNG.JLN JATI MEKAR JLN TRUSAN,"Gedebage, Bandung","ARJUNA LAND CITY KONSEP KOTA BARUDekat PODOMORO, cikoneng buah batu bandungDiscount 25 jt 10 unit pertamaAda 22 Ruko bisa utk INDOMART, ALFAMART DAN KANTORRUKO 65/70 hrg 725 jt ( 2 lantai )Type 36/50 hrg 267 jt ( standart ) Typr 36/50 hrg 327 jt ( mezanine )Type 36/60 hrg 297jt ( standart )Type 45/70 hrg 415 jt ( mezanine )Type 45/60 hrg 435 jt ( 2 lantai )Type 60/60 hrg 562 jt ( 2 lantai )Type 90/100 hrg 859 jt ( 2 lantai )Legalitas SHM",2,36,60,231000000
"Sayap Riau - Bandung, Siap Huni, Lingkungan Bagus","Riau, Bandung","lokasi strategis area sayap riau - pusat kota bandung. rumah siap pakai, jalan lebar pisan. lingkungan bagus, asri, tenang, aman dan nyaman. cocok untuk hunian di pusat kota bandung. dekat kemana2, tidak berisik. lokasi premium, jarang ada. jual cepat. siapa cepat dia dapat",5,158,220,6500000000
Rumah Di Gatotsubroto - Henny,"Gatot Subroto, Bandung",Tidak ada deskripsi yang tersedia. Silakan hubungi agen untuk informasi lebih lanjut mengenai properti ini.,3,100,182,3276000000
Rumah bandung kota,"Gegerkalong, Bandung",,4,244,120,3200000000
Setraduta Cemara,Bandung,"Setraduta Cemara LT 215 LB 300 L 10 2 Lantai Hadap Timur Rumah Baru 3500 W KT 4+1 KM 3+1 Carport 2 Garasi 2  B52-42  NOTE: Bagi yang mempunyai property (rumah, tanah, apartement, gudang, pabrik, atau ruang usaha) primary/second di area Bandung atau Luar Bandung, kami siap memasarkannya demi mempercepat penjualan property Anda.",4,300,215,3900000000
Murah rumah siap huni lt72/55 harga 275jt nego permata biru bandung,"Cibiru, Bandung","di jual rumah siap huni di komplek permata biruluas tanah72meterluas bangunan 60kamar tidur 2kamar mndi 1di dalam komplek,lokasi strategis ,dekat pusat perbelanjaan,sekolah dan unifersitas,dekat dengan GBLA dan kota mandiri di bandung timurlokasi sedang berkembang pesat karena akan di bngun monorel dan toll gedebageAnda mau jual tanah rumah atau apartment di bandung degan aman dan nyaman?? bisa hubungi Cika di  Kami siap membantu anda semaximal mungkin",2,60,72,275000000
Rumah di Pharmindo bagus siap huni dan terawat,"Cijerah, Bandung","Rumah sangat bagus terawat dan siap huni. dekat dengan fasilitas umum, dekat dengan pusat perbelanjaan, dekat dengan pusat kota, dekat dengan fasilitas ibadah. Harga bersaing, murah dan masi NEGO. yuk survey dan dapatkan rumah impian anda.",2,117,86,575000000
FOR SALE RUMAH CANTIK KAWASAN ELIT GRAHA PUSPA PARONGPONG LEMBANG,"Parongpong, Bandung","FS: Rumah graha puspa. LT350 LB260 LM14 KT3+1KM3+1, 2lantai, 2200watt, carport 3 mobil, semi furnish, bangunan umur 4 tahun, SHM, harga 2.2M negoKAMI Siap melayani Bapak/Ibu yg Serius Berminat dan Berjodoh untuk Melakukan Survey! Pasti Tidak Kecewa!Lokasi sangat strategis tidak jauh dari pusat perkotaan, BANK, Pom Bensin, Mini market, Toserba, Sekolah SD, SMP SMA, Tempat Ibadah,(RO)",3,260,350,2200000000
"Dijual Rumah Di Daerah Bandung Barat, Dekat Stasiun Cikadongdong","Cikalongwetan, Bandung","Dijual rumah siap huni daerah Cikalong Wetan, cocok dijadikan villa  Alamat: Jl. Puteran, Cikalong Wetan, Bandung Barat Luas Tanah= 3800 m2, Luas Bangunan= 1300 m2 Ruang Tamu, Ruang Keluarga, Teras, Dapur Basah, Taman, Kolam Listrik 2200watt Carport 10, Sumber air Mata Air Jarak dari rumah ke mata air kurang lebih 2000 m Kualitas bangunan bagus Lokasi dekat dengan Statsiun Cikadongdong, dan Desa Puteran.  Harga: Rp.5 Miliyar  Bila bapak/ ibu berminat silahkan hubungi IBU ATING di  (WA/call)",5,1300,3800,5000000000
"Hanya dg 3 Juta bisa dapat rumah cluster di Soreang, terbatas!","Andir, Bandung","Hanya dengan 3 Juta saja kamu bisa dapet rumah type 40 dan type 45 dengan model classic dan elegan, dijamin ga ada biaya lain lain lagi. Cicilannya juga cuman 3 Jutaan  Sekarang punya rumah itu mudah, bukan mudah mudahan  Nikmati mudahnya memiliki rumah dengan system pembayaran yang flexible, kamu bisa punya rumah dengan DP 0% atau pakai DP sesuai kantong kamu dan kerennya DP nya bisa di cicil juga loh  Menariknya selama bulan Desember ini kalau kamu beli unit type 40 dan type 45, ada promo bebas biaya KPR  Dengan konsep American Continental, eL Mansion Soreang hadir untuk kamu yang rindu dengan suasana Bandung yang tenang dan nyaman. Berdiri diatas lahan seluas 6000 meter, eL Mansion Soreang mempunyai 52 unit rumah yang bisa kamu miliki hanya dengan harga mulai dari 300 Jtan  Tidak hanya itu, eL Mansion Soreang ini memiliki beberapa kelebihan lain :  1. DP 0% 2. Gratis Pajak BPHTB, AJB, dll. 2. Mempunyai Masjid di dalam Cluster 3. Security 24 Jam (One Gate System) 4. Akses masuk ke Cluster lebar (9m)  Keren nya, kami menyediakan program EARLY BIRD dimana semua konsumen mendapat Diskon sebesar 10 Jt  Yuk buruan survey sekarang ANDI PROPERTY Fast Respon via WhatsApp",2,36,66,355000000
HUNIAN BARU SIAP PAKAI DI BUDI SARI HEGARMANAH CIDADAP KOTA BANDUNG,"Hegarmanah, Bandung","HARGA NEGO SAMPAI DEAL, SILAHKAN HUBUNGI KAMI. KAMI Siap melayani Bapak/Ibu yg Serius Berminat dan BerJodoh untuk Melakukan Survey! Pasti Tidak Kecewa! PROPERTY TERBAIK DENGAN FASILITAS: - status SHM - hadap BARAT DAYA - daya listrik 2200WATT - CARPORT 2 - GARASI 1 - airSUMUR SIBEL - terdapat kamar & kamar mandi ART  Miliki sekarang Property ini siap HUNI sudah renovasi dengan lokasi pasti STRATEGIS. LOKASI TIDAK JAUH DARI pusat perkotaan, BANK, Pom Bensin, Mini market, Toserba, Sekolah SD, SMP SMA, Tempat Ibadah. LOKASI STRATEGIS LAIN YANG TAK JAUH DARI LOKASI PROPERTY: - SEKOLAH TINGGI PARIWISATA BANDUNG - KYTOS - BORMA TOSERBA SETIABUDI - KPAD GEGERKALONG - UNIV PENDIDIKAN INDONESIA  Kami memiliki property lain di daerah ini, HUBUNGI kami siap membantu mencarikan properti yang sesuai dengan kebutuhan anda. Bagi anda yang sedang ingin menjual property baru/secondary di area Bandung, HUBUNGI kami siap membantu memasarkan properti anda dan mempercepat penjualan project/rumah anda sampai tiga kali lipat lebih cepat - FRANSISCA- 06WL",3,300,200,3750000000
Di Jual Rumah Baru 2 lantai di daerah strategis,"Cibeunying Kaler, Bandung","Di Jual Rumah Baru 2 lantai di daerah strategis (Cigadung, KOTA Bandung). Silahkan dicek tidak akan ada lagi RUMAH BARU di KOTA BANDUNG 2 lantai luas bangunan 100m2, luas tanah 127m2 harga semurah ini. Tapi bukan berarti murahan, material bangunan tidak sembarangan (hanya karena saya sedang butuh nutup dana, tadinya kalo ada dana saya tidak jual & tinggal di sini) Luas Tanah 127m2 (7mtr X 18.2mtr) Luas Bangunan 100m2 Sertifikat SHM -3 Kamar Tidur, 3 kamar mandi -Ruang Tamu, Ruang Keluarga, Ruang Makan, Dapur, Gudang, Taman Depan & Belakang (luas), Teras depan & belakang, Balkon depan & belakang, Area Cuci Jemur -Desain bagus (pencahayaan & sirkulasi udara maksimal) -Lantai 1 tanpa sekat, terlihat luas -Posisi rumah lebih tinggi 50cm dari jalan -Carport luas (Panjang 6 meter, muat mobil & 3-4 motor) -Menghadap Selatan -Lantai Granite -Kusen Alumunium -Pompa Air submersibel (gak berisik) dengan toren 800 liter -Genteng beton (kuat, awet) dilapis alumunium foil (perlindungan ganda dari kebocoran atap) & struktur baja ringan -Sudah disiapkan jalur genset -Taman Belakang Luas (masih bisa dibuat kolam renang/gazebo) -Kamar mandi dengan shower, kloset duduk -Kamar utama dengan kamar mandi dalam -Air sangat jernih, tidak berbau, dan di bor dalam (gak perlu khawatir air kering) -Terdapat pintu lipat besar yang koneksi langsung ke teras belakang & taman belakang. Disekitarnya akan dibangun 60 kavling rumah perumahan karyawan & dosen ITB (harga tanah & rumah akan melejit setelah dibangun. Investasi yang menjanjikan) BONUS: Pagar, kompor tanam, water heater, meja makan, lampu taman depan & belakang, antena + splitter Lokasi: - Jl. Cigadung Wetan KOTA BANDUNG (dekat daerah rumah botol kang Ridwan Kamil) - Akses masuk mobil - Dekat dengan Indomaret/Borma/Griya - Di bawah Dago Hills Awiligar (dago hills masih kabupaten) - Berbatasan dengan tanah milik ITB - Lokasi lembah (sejuk, natural) - Bebas banjir - Perumahan baru (untuk adaptasi lebih mudah) - Sedang ramai dibangun rumah-rumah baru disekitarnya - Dekat kemana-mana (C59 Factory 2 menit, Borma cikutra 3 menit; Griya Pahlawan 10 menit; Gor C-tra 5 menit; simpang dago 10 menit; gedung sate 15 menit, terminal cicaheum 15 menit, dekat kawasan wisata kuliner dago; ke lembang lewat dago) Harga: Rp. 1M (Cash) Rp. 1,1M (Cash bertahap) Rp. 1,2 M (KPR) Untuk informasi lebih detail silahkan hubungi Harga 1 M Noer Fadillah Prefer Development",3,127,98,1000000000
"Rumah Baru Minimalis Modern di Kawasan Elit Setraduta, Bandung",Bandung,"Dijual Rumah Setra Duta Casa Grande, Bandung1. Type Standard- LT 135- LB 176- 2 Lantai- KT 4+1- KM 3+1- Taman depan + belakang- Carport 2- Non Furnished- Harga 2.8 M
2. Type 18 Hook- LT 135- LB 189- 2 Lantai- KT 4+1- KM 3+1- Carport 3- Kolam Renang- Taman- Non Furnished- Harga 3.2 MOptional for swimming pool",4,176,135,2800000000
Rumah Ready Stok Type 36/62 di Cileunyi Bisa cicil,"Cileunyi Kulon, Bandung","Dijusl rumah ready stok   Lokasi : Cileunyi, cikoneng Luas tanah : 62m Luas bangunan : 36m  Skema pembayaran : Cash keras Cash bertahap Cicil langsung ke pemilik  Persyaratan cuma KTP",2,36,62,200000000
Rumah Cijerah Indah,"Cidadap, Bandung",Jual rumah cidadap girangCocok utk rmh kostLuas tanah 689m2Luas bangunan 1300m2Fondasi utk 7 lantai (ex. garmen)List 10rb wattAir jetpumpRp 5.2m (nego),0,1300,689,5200000000
RUMAH MURAH DIKOTA BANDUNG MULAI 200JUTAAN DKT STT TELKOMBUAHBATU,"Kopo, Bandung","@RUMAH/RUKO DISCOUNT 25JT DEKAT STT TELKOM, DAN TRANSMART TOL BUAHBATU BANDUNG Silahkan masih ada.info lebih jelasnya mengenai Spek dan poto2 rmh dan lokasi nya bisa dilanjut Via Wa (JIMMIE )",2,60,60,200000000
rumah siap huni Luas150/100 harga 650jt nego di riung bandung soekarno hata,"Rancasari, Bandung","di jual cepat rumah di riung bandung terdiri dari luas tanah 150(SHM120 +30 Kelebihan tanah) luas bangunan 90metr kamar tidur 3 kamar mandi 2 ruang tamu,dapur kamar mandi,carport,taman lingkungan aman dan nyaman di dalam komplek bebas banjir dekat pusat perbelenjaan,ATM Center dekat ke sekolah,SD,SMP,SMA unifersitas lokasi sedang mengalalmi perkembangan cepat di bandung timur karena berdekatan dengan sumarecond,toll gede bage,metro laand,dan SOR GBLA # menerima penitipan penjualan property# Anda mau jual rumah,tanah,aparment,hotel,gudang atau pabrik di Bandung dengan aman dan nyaman?? bisa hubungi saya di IG chika.confident /WA  Saya siap membantu anda semaximal mungkin",3,90,150,650000000
Rumah Baru gress di Budi Luhur Belakang Setraduta  Bandung,"Sukasari, Bandung","Rumah Baru (dlm cluster) di Budi Luhur Belakang Setraduta  Bandung    Spesifikasi :  LT/ LB : 104m2 / 120m2  KT / KM : 3 / 3  Sertifikat : SHGB  Keterangan : Carport, dekat ke mall PVJ, Rumah Mode setiabudhi, kuliner dll  Harga : 1,6 M  (TM)  Hubungi  Xavier Marks Smart Hotline admin",3,120,104,1600000000
"Rumah bagus siap huni, ABADI REGENCY – Gegerkalong. Kotak 11x18.",Bandung,"Rumah Bagus Siap Huni di Abadi Regency - Gegerkalong. Cluster Bangunan 2 lantai. Ngantong , Row Jalan Besar. Jalan Mulus Aspal. Lokasi strategis, dekat dengan kampus UPI dan NHI. Dekat dengan borma setiabudhi dan griya setiabudhi. Dekat dengan RS. Advent. Lingkungan asri, aman dan nyaman. Taman depan, dan belakang. Siap huni!. Kotak 11x18.MahfudinAgent property spesialis area bandung utara",4,330,200,3000000000
Rumah Idaman Keluarga Di Majalaya Residence Bandung Timur,"Majalaya, Bandung","Dijual Rumah Siap Huni. 350juta negoKomplek MAJALAYA ResidenceJl.Raya Cicalengka Majalaya 166 Desa Bojong Kec.Majalaya Kab.Bandung Jawa Barat 40396Lokasi strategis dekat Jl.Anyar yg menghubungkan akses ke sapan gedebage, ciparay, rancaekek, solokan jeruk, mudah kemana mana, tidak terlalu jauh dari tempat2 bisnis ataupun kebutuhan, hunian yg nyaman di bandung timur, aksesnya yg gampang buat keluar kota
Spek sbb:Harga penawaran 350juta nego (cukup murah dibawah harga pasaran)Lokasi depan dekat sanggar senam SSC, dekat ke gerbang komplek depan yg akses ke jln rayaLT 72mLB +- 72mHadap baratBangunan thn 2012 msh siap huni terawattR.TamuR.KeluargaR.MakanDapur2 Kamar Tidur1 Kamar mandiCarport 1 mobilListrik 1300wattAir PDAM
More info Hub.Nanang Confident",2,72,72,350000000
GA BISA NOLAK! MEWAH BANGET RUMAH DAERAH SETIABUDHI BANDUNG,"Isola, Bandung","*GOOD INFO! Dapat suasana kota cantik, area keren, dekat ke area pusat shopping centre, indomart,alfamart,juga fasilitas lainnya. Kondisi sangat baik, dijamin area aman, mudah ke berbagai tempat sarana hiburan/tempat main kalangan masyarakat berkelas. harga pasti sangat bisa nego, langsung hubungi BEYOND PROPERTY untuk bisa tanya lebih lanjut. - Favorite area - bisa nego - akses mudah dijangkau #jdho THANK YOU #BEYOND PROPERTY#",6,1200,1036,15000000000
Rumah Dijual Di Ancol Bandung,Bandung,"Dijual rumah terawat lokasi strategis di jalan ancol, Spesifikasi bangunan sbb:
-Luas tanah: 284m2-Luas bangunan: 350m2
Fasilitas:- 2 Lantai- 1 Ruang keluarga- 5 Kamar tidur- 3 Kamar mandi- 1 Mushola- 2 Taman (depan & dalam)- 1 Dapur- 1 Garasi (untuk 3 mobil)- 1 Carport (untuk 2 mobil)- 1 Tempat jemuran- Air PDAM- Listrik 1300 watt- Sertifikat SHM & IMB
Harga Rp 3Milyar(nego)
Akses jalan melalui Jl. BKR, Moch. Ramdan dan Pungkur. Lokasi dekat dengan Pasar Ancol, Universitas Langlang Buana (UNLA), ITC Kebon Kelapa, Alun-alun Bandung
For InfoAndrie#SAP",5,350,284,3000000000
Dijual Cafe + Kolam Renang Untuk Usaha.,Bandung,Spesifikasi : Luas Tanah 300 M² Bangunan 2 Lantai Kolam Renang Kamar Tidur  Cafe  Kamar Ganti 5  Kamar Mandi 5    Cocok untuk Usaha Wisata Olah Raga Renang & Cafe.,5,300,300,1700000000
Jarang ada rumah murah tanah luas 140/120 di riung bandung kodiya,"Rancasari, Bandung","di jual cepat rumah baru siap huni di riung bandungterdiri dariluas tanah 140meterluas bangunan 120metrkamar tidur 3+1kamar mandi 2ruang tamu,dapur kamar mandi,carport,tamanbahan bangunan berkwalitaslingkungan aman dan nyamandi dalam komplekbebas banjirdekat pusat perbelenjaan,ATM Centerdekat ke sekolah,SD,SMP,SMA unifersitaslokasi sedang mengalalmi perkembangan cepat di bandung timur karena berdekatan dengan sumarecond,toll gede bage,metro laand,dan SOR GBLA  # menerima penitipan penjualan property#Anda mau jual rumah,tanah,aparment,hotel,gudang atau pabrik di Bandung dengan aman dan nyaman??bisa hubungi saya di IG chika.confident /WA / BBM , Saya siap membantu anda semaximal mungkin",4,122,140,749900000
"@ARJUNA LAND CITY KONSEP KOTA BARU Dkat PODOMORO, cikoneng buah batu bandung Dis","Kiaracondong, Bandung",cara bayar cash keras dan bertahap JM DLAND. Silahkan masih ada.info lebih jelasnya mengenai Spek dan poto2 rmh dan lokasi nya bisa dilanjut Via Wa (JIMMIE ),2,36,60,195000000
"Rumah Baru Area Kurdi, Moh Toha lokasi Strategis Dekat BKR",Bandung,"Interest Point : - 100 meter ke jalan besar BKR  - 250 meter ke jalan Moh Ramdan  - komplek Tenang, aman dan nyaman  Spesifikasi :   Luas Tanah :70 Luas Bangunan :50 KT :2 KT Pembantu :- KM :1 KM Pembantu :- Lebar Muka :5 Meter Lebar Jalan :1 Mobil Kondisi Bangunan:Siap Huni Harga :700JT SHM/IMH/PBB :Lengkap Hadap :Barat Air :S.Sible Listrik :1300 watt  Untuk Survey lokasi silahkan janjian terlebih dahulu. Mohon maaf tidak bisa dadakan",2,50,5,700000000
